;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27
1;0,0;7,1;79,5;93,5;96,3;;91,4;46,4;55,9;;;;;;;;;2,5;24,1;;43,8;13,2;44,2;13,5;57,9;;
2;7,1;0,0;72,5;12,0;;;48,2;22,7;29,1;14,3;;91,8;;;72,3;68,6;34,0;70,6;14,1;;;24,6;75,9;;;89,4;
3;79,5;72,5;0,0;;99,4;;;;;36,3;10,6;86,4;97,9;83,3;86,4;42,9;;;;;78,8;53,2;12,2;91,6;;;82,7
4;93,5;12,0;;0,0;;;;96,3;29,2;21,2;;;;13,4;;;;61,7;22,2;;;;47,4;;28,9;;
5;96,3;;99,4;;0,0;85,0;48,0;;22,4;;;84,9;10,3;;52,6;;;49,7;78,5;13,9;;;;;;;
6;;;;;85,0;0,0;;76,9;;;;;;86,3;;;67,3;;;25,4;;;;37,1;86,1;;32,4
7;91,4;48,2;;;48,0;;0,0;71,6;;5,0;77,6;0,4;39,1;41,9;;;86,8;;97,3;5,5;96,6;83,8;;;;;93,6
8;46,4;22,7;;96,3;;76,9;71,6;0,0;;;;82,3;16,5;89,0;20,1;74,4;;86,9;4,3;;;;;5,8;34,1;51,5;37,9
9;55,9;29,1;;29,2;22,4;;;;0,0;;41,6;24,2;;83,1;17,4;81,9;;44,9;;9,0;;;64,6;;;;
10;;14,3;36,3;21,2;;;5,0;;;0,0;;97,4;;12,6;;76,3;;92,5;;;34,0;49,4;;;;;91,6
11;;;10,6;;;;77,6;;41,6;;0,0;;;75,4;85,7;;12,8;;7,2;;3,9;5,2;68,9;63,0;;56,9;
12;;91,8;86,4;;84,9;;0,4;82,3;24,2;97,4;;0,0;20,9;66,6;2,5;79,7;68,2;;96,5;43,3;;;31,1;;58,4;;
13;;;97,9;;10,3;;39,1;16,5;;;;20,9;0,0;;32,2;70,7;19,1;58,1;84,1;;39,4;;4,9;53,1;;26,3;11,0
14;;;83,3;13,4;;86,3;41,9;89,0;83,1;12,6;75,4;66,6;;0,0;50,6;;;;;40,0;65,7;;43,7;;95,2;;
15;;72,3;86,4;;52,6;;;20,1;17,4;;85,7;2,5;32,2;50,6;0,0;65,3;95,7;;;;;;;;21,1;14,5;
16;;68,6;42,9;;;;;74,4;81,9;76,3;;79,7;70,7;;65,3;0,0;;;;10,4;31,1;;;79,1;;;
17;;34,0;;;;67,3;86,8;;;;12,8;68,2;19,1;;95,7;;0,0;;91,7;67,2;;93,7;15,8;;57,9;;74,1
18;2,5;70,6;;61,7;49,7;;;86,9;44,9;92,5;;;58,1;;;;;0,0;87,2;;62,6;79,5;;24,1;26,8;94,6;
19;24,1;14,1;;22,2;78,5;;97,3;4,3;;;7,2;96,5;84,1;;;;91,7;87,2;0,0;;;17,5;44,9;45,7;19,1;;99,5
20;;;;;13,9;25,4;5,5;;9,0;;;43,3;;40,0;;10,4;67,2;;;0,0;;;;;;;
21;43,8;;78,8;;;;96,6;;;34,0;3,9;;39,4;65,7;;31,1;;62,6;;;0,0;33,8;;;;;
22;13,2;24,6;53,2;;;;83,8;;;49,4;5,2;;;;;;93,7;79,5;17,5;;33,8;0,0;;;;76,2;
23;44,2;75,9;12,2;47,4;;;;;64,6;;68,9;31,1;4,9;43,7;;;15,8;;44,9;;;;0,0;35,2;14,1;;
24;13,5;;91,6;;;37,1;;5,8;;;63,0;;53,1;;;79,1;;24,1;45,7;;;;35,2;0,0;;47,8;60,6
25;57,9;;;28,9;;86,1;;34,1;;;;58,4;;95,2;21,1;;57,9;26,8;19,1;;;;14,1;;0,0;14,7;
26;;89,4;;;;;;51,5;;;56,9;;26,3;;14,5;;;94,6;;;;76,2;;47,8;14,7;0,0;
27;;;82,7;;;32,4;93,6;37,9;;91,6;;;11,0;;;;74,1;;99,5;;;;;60,6;;;0,0
